epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,812.102,0.54558,0.39795,0.90402,0.80937,0.84342,0.87873,0.72634,0.63056,0.43953,0.95273,9.56501e-05,9.56501e-05,9.56501e-05
43,830.874,0.51948,0.36294,0.88662,0.82958,0.82507,0.88952,0.72932,0.63462,0.44033,0.94765,9.40562e-05,9.40562e-05,9.40562e-05
44,849.742,0.53489,0.36995,0.89436,0.83075,0.82412,0.87281,0.72419,0.62141,0.43836,0.93449,9.24623e-05,9.24623e-05,9.24623e-05
45,868.672,0.51251,0.36761,0.8868,0.83981,0.82697,0.87569,0.7235,0.62477,0.42919,0.94159,9.08684e-05,9.08684e-05,9.08684e-05
46,887.567,0.50519,0.35227,0.8858,0.85007,0.81848,0.87266,0.72551,0.62342,0.42309,0.93571,8.92745e-05,8.92745e-05,8.92745e-05
47,906.413,0.50272,0.34357,0.87918,0.80545,0.86436,0.86216,0.71128,0.63046,0.41894,0.93498,8.76806e-05,8.76806e-05,8.76806e-05
48,925.539,0.50938,0.34816,0.88307,0.81149,0.84376,0.88244,0.72697,0.62813,0.42811,0.93928,8.60867e-05,8.60867e-05,8.60867e-05
49,944.42,0.50414,0.34753,0.87933,0.82624,0.83518,0.87879,0.72532,0.62641,0.42427,0.93476,8.44928e-05,8.44928e-05,8.44928e-05
50,963.21,0.50526,0.3462,0.88539,0.83333,0.84069,0.87756,0.73291,0.63123,0.42213,0.94407,8.28989e-05,8.28989e-05,8.28989e-05
51,982.005,0.50043,0.34846,0.88105,0.82698,0.83074,0.88792,0.73196,0.62965,0.41645,0.93809,8.1305e-05,8.1305e-05,8.1305e-05
52,1001.13,0.50167,0.33848,0.87786,0.80619,0.85759,0.87829,0.72572,0.62934,0.41623,0.93625,7.97111e-05,7.97111e-05,7.97111e-05
